,subject,task,session,run,ppg,rsp,ecg,eda,biopac,eyetracking,ppg_quality_mean,ppg_quality_std,rsp_quality_mean,rsp_quality_std,ecg_quality_mean,ecg_quality_std
339,1,PassiveHighVid,10Travel,3,False,False,False,False,False,False,,,,,,
340,1,PassiveLowVid,10Travel,0,False,False,False,False,False,False,,,,,,
341,1,PassiveLowVid,10Travel,1,True,True,True,True,True,True,0.8821003527731822,0.2228239611518675,10.206502491966484,1.3934686384827202,0.7177173436464296,0.3993520410981364
342,1,PassiveLowVid,10Travel,1.acq,False,False,False,False,False,False,,,,,,
343,1,PassiveLowVid,10Travel,2,False,False,False,False,False,False,,,,,,
344,1,PassiveLowVid,10Travel,3,False,False,False,False,False,False,,,,,,
345,1,PassiveMixedVid,10Travel,0,False,False,False,False,False,False,,,,,,
346,1,PassiveMixedVid,10Travel,1,True,True,True,True,True,True,0.9350228310760696,0.0935196253349957,10.855701292654684,1.4779935679341296,0.7157091613194018,0.3566832885405823
347,1,PassiveMixedVid,10Travel,1.acq,False,False,False,False,False,False,,,,,,
348,1,PassiveMixedVid,10Travel,2,False,False,False,False,False,False,,,,,,
349,1,PassiveMixedVid,10Travel,3,False,False,False,False,False,False,,,,,,
0,2,ActiveHighVid,01Baby,0,False,False,False,False,False,False,,,,,,
1,2,ActiveHighVid,01Baby,1,True,True,True,True,True,True,0.960366438419703,0.0929782054773262,22.063836561395807,2.586769957993611,0.8424544399681442,0.1220944838232019
2,2,ActiveHighVid,01Baby,2,False,False,False,False,False,False,,,,,,
3,2,ActiveLowVid,01Baby,0,False,False,False,False,False,False,,,,,,
4,2,ActiveLowVid,01Baby,1,True,True,True,True,True,True,0.9970622107659016,0.0049745957273433,13.275616434348636,7.776490484467105,0.9014525066255208,0.1057994645991256
5,2,ActiveLowVid,01Baby,2,False,False,False,False,False,False,,,,,,
6,2,ActiveMixedVid,01Baby,0,False,False,False,False,False,False,,,,,,
7,2,ActiveMixedVid,01Baby,1,True,True,True,True,True,True,0.9955435675051528,0.0095082160319701,31.573582199648513,35.26379513019792,0.8791783087651116,0.1187178022867685
8,2,ActiveMixedVid,01Baby,2,False,False,False,False,False,False,,,,,,
9,2,MID,01Baby,0,False,False,False,False,False,False,,,,,,
10,2,MID,01Baby,1,False,False,False,False,False,False,,,,,,
11,2,MID,01Baby,2,False,False,False,False,False,False,,,,,,
12,2,MovieThePresent,01Baby,0,False,False,False,False,False,False,,,,,,
13,2,MovieThePresent,01Baby,1,False,False,False,False,False,False,,,,,,
14,2,MovieThePresent,01Baby,2,False,False,False,False,False,False,,,,,,
15,2,PVT,01Baby,0,False,False,False,False,False,False,,,,,,
16,2,PVT,01Baby,1,True,True,True,True,True,True,0.7460970321242962,0.2205622027350102,23.142268742269177,1.3484857097538168,0.8447542456019015,0.1412709276268909
17,2,PVT,01Baby,2,False,False,False,False,False,False,,,,,,
18,2,PassiveHighVid,01Baby,0,False,False,False,False,False,False,,,,,,
19,2,PassiveHighVid,01Baby,1,True,True,True,True,True,True,0.9967835906431118,0.0058728472328059,14.061494991953548,14.557730436201904,0.8646814074353767,0.1401232285691576
20,2,PassiveHighVid,01Baby,2,False,False,False,False,False,False,,,,,,
21,2,PassiveLowVid,01Baby,0,False,False,False,False,False,False,,,,,,
22,2,PassiveLowVid,01Baby,1,True,True,True,True,True,True,0.8406969147143083,0.1682944349936677,22.953509112439132,1.711010777247022,0.8863351284692644,0.0899224370906037
23,2,PassiveLowVid,01Baby,2,False,False,False,False,False,False,,,,,,
24,2,PassiveMixedVid,01Baby,0,False,False,False,False,False,False,,,,,,
25,2,PassiveMixedVid,01Baby,1,True,True,True,True,True,True,0.9941406836844512,0.007552217912216,19.09114784418443,5.9561953593394215,0.9412617680569616,0.0733717146037602
26,2,PassiveMixedVid,01Baby,2,False,False,False,False,False,False,,,,,,
27,2,Rest,01Baby,0,False,False,False,False,False,False,,,,,,
28,2,Rest,01Baby,1,False,False,False,False,False,False,,,,,,
29,2,Rest,01Baby,2,False,False,False,False,False,False,,,,,,
30,2,VisualLoc,01Baby,0,False,False,False,False,False,False,,,,,,
31,2,VisualLoc,01Baby,1,False,False,False,False,False,False,,,,,,
32,2,VisualLoc,01Baby,2,False,False,False,False,False,False,,,,,,
33,2,ActiveHighVid,02Diy,0,False,False,False,False,False,False,,,,,,
34,2,ActiveHighVid,02Diy,1,True,True,True,True,True,True,0.9748702014806564,0.0353803436268416,22.584942523814092,1.3809260881381749,0.7827003710119214,0.1581052678097738
35,2,ActiveHighVid,02Diy,2,False,False,False,False,False,False,,,,,,
36,2,ActiveLowVid,02Diy,0,False,False,False,False,False,False,,,,,,
37,2,ActiveLowVid,02Diy,1,True,True,True,True,True,True,0.9941670562476488,0.006582704771013,18.921740915392785,4.644390969188308,0.8889758980035972,0.1047650416281854
38,2,ActiveLowVid,02Diy,2,False,False,False,False,False,False,,,,,,
39,2,ActiveMixedVid,02Diy,0,False,False,False,False,False,False,,,,,,
40,2,ActiveMixedVid,02Diy,1,True,True,True,True,True,True,0.9971836697505408,0.006969054073898,20.94584532211225,3.4629913222919635,0.8581310830368264,0.1262207022378674
41,2,ActiveMixedVid,02Diy,2,False,False,False,False,False,False,,,,,,
42,2,MID,02Diy,0,False,False,False,False,False,False,,,,,,
43,2,MID,02Diy,1,False,False,False,False,False,False,,,,,,
44,2,MID,02Diy,2,False,False,False,False,False,False,,,,,,
45,2,MovieThePresent,02Diy,0,False,False,False,False,False,False,,,,,,
46,2,MovieThePresent,02Diy,1,False,False,False,False,False,False,,,,,,
47,2,MovieThePresent,02Diy,2,False,False,False,False,False,False,,,,,,
48,2,PVT,02Diy,0,False,False,False,False,False,False,,,,,,
49,2,PVT,02Diy,1,True,True,True,True,True,True,0.961088309797016,0.030725981788369,48.726677280837315,38.65691805656724,0.8103260248824922,0.162295838056349
50,2,PVT,02Diy,2,False,False,False,False,False,False,,,,,,
51,2,PassiveHighVid,02Diy,0,False,False,False,False,False,False,,,,,,
