MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
EFIX	R	8652561	8652609	52	567.6	338.0	1055			
SSACC	R	8652613								
ESACC	R	8652613	8652617	8	568.1	348.9	569.3	342.8	0.12	55
SFIX	R	8652621								
EFIX	R	8652621	8652685	68	572.8	331.7	1058			
SSACC	R	8652689								
ESACC	R	8652689	8652693	8	573.9	335.2	573.1	346.0	0.21	72
SFIX	R	8652697								
EFIX	R	8652697	8652749	56	575.9	335.2	1068			
SSACC	R	8652753								
ESACC	R	8652753	8652769	20	578.0	339.7	579.9	302.1	0.74	95
SFIX	R	8652773								
EFIX	R	8652773	8652817	48	577.8	324.4	1091			
SSACC	R	8652821								
ESACC	R	8652821	8652853	36	577.4	305.4	386.5	419.1	3.84	235
SFIX	R	8652857								
EFIX	R	8652857	8652953	100	411.3	425.7	971			
SSACC	R	8652957								
SBLINK	R	8653009								
EBLINK	R	8653009	8653109	104						
ESACC	R	8652957	8653229	276	399.0	410.2	441.8	316.1	1.97	605
SFIX	R	8653233								
EFIX	R	8653233	8653313	84	449.9	383.1	669			
SSACC	R	8653317								
ESACC	R	8653317	8653337	24	457.8	410.4	552.5	390.5	1.60	139
SFIX	R	8653341								
EFIX	R	8653341	8653393	56	544.5	406.2	680			
SSACC	R	8653397								
ESACC	R	8653397	8653437	44	538.4	417.3	805.2	529.9	4.86	218
SFIX	R	8653441								
EFIX	R	8653441	8653577	140	782.3	540.0	808			
SSACC	R	8653581								
ESACC	R	8653581	8653609	32	785.2	551.5	887.8	597.3	1.87	148
SFIX	R	8653613								
EFIX	R	8653613	8653701	92	878.7	600.4	854			
SSACC	R	8653705								
ESACC	R	8653705	8653713	12	879.7	594.0	878.4	605.2	0.22	45
SFIX	R	8653717								
EFIX	R	8653717	8653797	84	880.3	616.4	842			
SSACC	R	8653801								
ESACC	R	8653801	8653857	60	879.9	632.2	489.0	260.4	9.59	332
SFIX	R	8653861								
EFIX	R	8653861	8653905	48	487.0	306.0	890			
SSACC	R	8653909								
ESACC	R	8653909	8653961	56	481.8	326.3	467.6	109.6	4.26	433
SFIX	R	8653965								
EFIX	R	8653965	8654185	224	466.5	129.1	900			
SSACC	R	8654189								
ESACC	R	8654189	8654205	20	477.9	122.9	480.4	64.0	1.16	112
SFIX	R	8654209								
EFIX	R	8654209	8654321	116	486.2	88.4	840			
SSACC	R	8654325								
ESACC	R	8654325	8654369	48	486.9	94.6	436.2	435.2	6.72	256
SFIX	R	8654373								
MSG	8654562	VIDEO_MARKER_00060								
EFIX	R	8654373	8654597	228	437.1	423.5	856			
SSACC	R	8654601								
ESACC	R	8654601	8654621	24	442.8	422.2	562.5	415.5	1.96	146
SFIX	R	8654625								
EFIX	R	8654625	8654801	180	548.9	432.6	905			
SSACC	R	8654805								
ESACC	R	8654805	8654845	44	556.1	441.9	415.5	460.0	2.33	244
SFIX	R	8654849								
EFIX	R	8654849	8655133	288	394.8	479.5	918			
SSACC	R	8655137								
ESACC	R	8655137	8655249	116	390.0	486.5	497.5	490.1	1.76	200
SFIX	R	8655253								
EFIX	R	8655253	8655433	184	495.4	488.2	927			
SSACC	R	8655437								
ESACC	R	8655437	8655457	24	492.1	492.4	574.7	450.2	1.58	125
SFIX	R	8655461								
EFIX	R	8655461	8655565	108	553.4	458.9	1033			
SSACC	R	8655569								
ESACC	R	8655569	8655573	8	552.4	465.0	552.2	468.1	0.06	54
SFIX	R	8655577								
EFIX	R	8655577	8655597	24	553.7	457.2	1052			
SSACC	R	8655601								
SBLINK	R	8655657								
EBLINK	R	8655657	8655725	72						
ESACC	R	8655601	8655817	220	555.0	472.4	372.1	183.7	6.39	870
SFIX	R	8655821								
EFIX	R	8655821	8655961	144	385.7	245.3	947			
SSACC	R	8655965								
ESACC	R	8655965	8655969	8	388.6	259.3	388.0	248.8	0.21	38
SFIX	R	8655973								
EFIX	R	8655973	8656293	324	413.9	209.1	907			
SSACC	R	8656297								
ESACC	R	8656297	8656313	20	442.2	115.2	453.2	36.1	1.56	130
SFIX	R	8656317								
EFIX	R	8656317	8656437	124	454.8	50.7	897			
SSACC	R	8656441								
ESACC	R	8656441	8656497	60	452.4	59.0	370.3	34.5	1.43	124
SFIX	R	8656501								
MSG	8656546	VIDEO_MARKER_00120								
EFIX	R	8656501	8656913	416	390.3	56.0	901			
SSACC	R	8656917								
ESACC	R	8656917	8656933	20	452.9	54.5	519.8	-4.3	1.59	127
SFIX	R	8656937								
EFIX	R	8656937	8657137	204	535.9	-21.6	903			
SSACC	R	8657141								
ESACC	R	8657141	8657197	60	543.0	-60.3	524.3	492.0	10.76	295
SFIX	R	8657201								
EFIX	R	8657201	8657469	272	517.0	459.8	1009			
SSACC	R	8657473								
ESACC	R	8657473	8657509	40	510.5	451.4	394.4	607.5	3.56	230
SFIX	R	8657513								
EFIX	R	8657513	8657733	224	386.7	566.5	1038			
SSACC	R	8657737								
ESACC	R	8657737	8657761	28	384.9	549.0	521.1	544.9	2.22	128
SFIX	R	8657765								
EFIX	R	8657765	8657909	148	496.8	564.1	1036			
SSACC	R	8657913								
ESACC	R	8657913	8658013	104	496.4	581.2	492.9	204.0	7.34	474
SFIX	R	8658017								
EFIX	R	8658017	8658133	120	500.1	221.5	1043			
SSACC	R	8658137								
ESACC	R	8658137	8658161	28	508.2	234.3	418.6	155.8	2.13	156
SFIX	R	8658165								
EFIX	R	8658165	8658369	208	451.7	198.2	1035			
SSACC	R	8658373								
ESACC	R	8658373	8658385	16	445.4	198.5	404.8	170.5	0.86	92
SFIX	R	8658389								
MSG	8658512	VIDEO_MARKER_00180								
EFIX	R	8658389	8658645	260	411.9	174.0	938			
SSACC	R	8658649								
ESACC	R	8658649	8658657	12	409.9	179.7	413.6	178.9	0.06	42
SFIX	R	8658661								
EFIX	R	8658661	8658757	100	421.0	184.1	924			
SSACC	R	8658761								
ESACC	R	8658761	8658773	16	415.8	193.8	397.7	231.5	0.80	85
SFIX	R	8658777								
EFIX	R	8658777	8658961	188	407.3	225.4	920			
SSACC	R	8658965								
ESACC	R	8658965	8658973	12	408.6	220.0	409.2	220.2	0.01	54
SFIX	R	8658977								
EFIX	R	8658977	8659289	316	418.5	220.1	907			
SSACC	R	8659293								
ESACC	R	8659293	8659345	56	428.3	209.8	732.0	634.9	9.61	345
SFIX	R	8659349								
EFIX	R	8659349	8659525	180	750.3	636.8	977			
SSACC	R	8659529								
ESACC	R	8659529	8659573	48	767.3	662.0	485.8	169.4	10.57	398
SFIX	R	8659577								
EFIX	R	8659577	8659601	28	488.7	157.9	983			
SSACC	R	8659605								
ESACC	R	8659605	8659617	16	484.5	139.2	470.8	131.8	0.27	70
SFIX	R	8659621								
EFIX	R	8659621	8659689	72	461.7	163.9	927			
SSACC	R	8659693								
ESACC	R	8659693	8659725	36	463.1	180.5	355.8	336.3	3.53	242
SFIX	R	8659729								
EFIX	R	8659729	8659985	260	355.1	330.9	836			
SSACC	R	8659989								
ESACC	R	8659989	8660021	36	352.2	342.6	459.7	130.4	4.52	311
SFIX	R	8660025								
MSG	8660512	VIDEO_MARKER_00240								
EFIX	R	8660025	8661073	1052	455.2	175.1	867			
SSACC	R	8661077								
ESACC	R	8661077	8661093	20	511.4	194.8	442.9	245.4	1.50	136
SFIX	R	8661097								
EFIX	R	8661097	8661349	256	455.0	241.0	910			
SSACC	R	8661353								
ESACC	R	8661353	8661513	164	453.1	208.2	524.0	284.5	1.90	233
SFIX	R	8661517								
EFIX	R	8661517	8661841	328	489.5	308.7	852			
SSACC	R	8661845								
ESACC	R	8661845	8661865	24	470.1	313.3	437.5	299.8	0.60	77
SFIX	R	8661869								
EFIX	R	8661869	8662125	260	455.9	302.1	852			
SSACC	R	8662129								
ESACC	R	8662129	8662161	36	481.7	303.7	274.4	318.8	3.41	193
SFIX	R	8662165								
MSG	8662195	VIDEO_MARKER_00300								
EFIX	R	8662165	8662581	420	337.1	306.4	799			
SSACC	R	8662585								
ESACC	R	8662585	8662649	68	372.0	287.2	386.7	70.8	4.25	284
SFIX	R	8662653								
EFIX	R	8662653	8662881	232	379.2	104.0	762			
SSACC	R	8662885								
ESACC	R	8662885	8662901	20	380.8	114.4	349.0	50.8	1.35	118
SFIX	R	8662905								
EFIX	R	8662905	8663125	224	362.7	61.6	759			
SSACC	R	8663129								
ESACC	R	8663129	8663173	48	365.0	70.4	409.3	386.8	6.23	267
SFIX	R	8663177								
EFIX	R	8663177	8663377	204	413.1	370.7	759			
SSACC	R	8663381								
ESACC	R	8663381	8663397	20	415.7	378.1	516.4	403.7	1.72	146
SFIX	R	8663401								
EFIX	R	8663401	8663653	256	501.5	413.8	750			
SSACC	R	8663657								
ESACC	R	8663657	8663689	36	494.8	414.4	632.2	376.3	2.37	180
SFIX	R	8663693								
EFIX	R	8663693	8663853	164	602.6	389.4	781			
SSACC	R	8663857								
ESACC	R	8663857	8663881	28	569.7	400.2	648.1	325.3	1.95	183
SFIX	R	8663885								
EFIX	R	8663885	8664157	276	575.8	332.2	830			
SSACC	R	8664161								
ESACC	R	8664161	8664177	20	534.2	315.2	501.9	382.1	1.41	118
SFIX	R	8664181								
MSG	8664211	VIDEO_MARKER_00360								
EFIX	R	8664181	8664481	304	490.4	353.0	877			
SSACC	R	8664485								
ESACC	R	8664485	8664497	16	503.2	348.8	542.0	382.5	0.92	86
SFIX	R	8664501								
EFIX	R	8664501	8664909	412	645.1	426.9	861			
SSACC	R	8664913								
ESACC	R	8664913	8664957	48	756.9	465.7	619.0	394.2	2.65	211
SFIX	R	8664961								
EFIX	R	8664961	8664989	32	602.4	335.0	994			
SSACC	R	8664993								
ESACC	R	8664993	8665097	108	561.2	277.6	484.7	211.8	1.80	194
SFIX	R	8665101								
EFIX	R	8665101	8665245	148	494.4	229.0	920			
SSACC	R	8665249								
ESACC	R	8665249	8665265	20	509.4	243.4	565.8	160.7	1.87	142
SFIX	R	8665269								
EFIX	R	8665269	8665649	384	547.5	175.0	918			
SSACC	R	8665653								
ESACC	R	8665653	8665689	40	516.6	192.3	426.4	422.4	4.74	288
SFIX	R	8665693								
EFIX	R	8665693	8665949	260	426.5	423.8	950			
SSACC	R	8665953								
ESACC	R	8665953	8665977	28	428.6	425.4	537.7	303.2	2.98	221
SFIX	R	8665981								
EFIX	R	8665981	8666173	196	525.7	321.2	931			
SSACC	R	8666177								
MSG	8666178	VIDEO_MARKER_00420								
ESACC	R	8666177	8666201	28	530.0	317.9	424.9	407.8	2.46	186
SFIX	R	8666205								
EFIX	R	8666205	8666389	188	448.0	391.3	827			
SSACC	R	8666393								
ESACC	R	8666393	8666397	8	443.4	391.4	434.7	398.0	0.19	39
SFIX	R	8666401								
EFIX	R	8666401	8666537	140	443.0	403.8	813			
SSACC	R	8666541								
ESACC	R	8666541	8666557	20	449.0	401.6	529.3	403.3	1.31	117
SFIX	R	8666561								
EFIX	R	8666561	8666673	116	512.3	413.7	823			
SSACC	R	8666677								
ESACC	R	8666677	8666681	8	514.0	404.5	513.6	408.4	0.08	41
SFIX	R	8666685								
EFIX	R	8666685	8666877	196	509.5	411.1	826			
SSACC	R	8666881								
ESACC	R	8666881	8666925	48	495.3	408.8	581.8	280.0	2.89	204
SFIX	R	8666929								
EFIX	R	8666929	8667017	92	567.8	282.0	810			
SSACC	R	8667021								
ESACC	R	8667021	8667053	36	555.4	285.1	448.4	116.1	3.75	220
SFIX	R	8667057								
EFIX	R	8667057	8667261	208	420.9	155.6	805			
SSACC	R	8667265								
ESACC	R	8667265	8667285	24	392.4	167.1	483.7	89.8	2.13	186
SFIX	R	8667289								
EFIX	R	8667289	8667513	228	439.2	108.4	816			
SSACC	R	8667517								
ESACC	R	8667517	8667541	28	409.4	120.8	390.5	356.0	4.62	298
SFIX	R	8667545								
EFIX	R	8667545	8667737	196	407.1	369.8	830			
SSACC	R	8667741								
ESACC	R	8667741	8667753	16	404.8	364.2	388.0	398.2	0.72	72
SFIX	R	8667757								
EFIX	R	8667757	8667909	156	396.5	391.0	869			
SSACC	R	8667913								
ESACC	R	8667913	8667949	40	397.1	399.8	489.5	43.4	7.14	442
SFIX	R	8667953								
EFIX	R	8667953	8668101	152	490.5	121.3	951			
SSACC	R	8668105								
ESACC	R	8668105	8668129	28	491.9	155.7	369.1	381.3	4.86	367
SFIX	R	8668133								
MSG	8668161	VIDEO_MARKER_00480								
EFIX	R	8668133	8668369	240	376.1	399.7	881			
SSACC	R	8668373								
ESACC	R	8668373	8668393	24	374.7	416.7	480.7	390.5	1.81	148
SFIX	R	8668397								
EFIX	R	8668397	8668685	292	460.2	412.7	940			
SSACC	R	8668689								
ESACC	R	8668689	8668721	36	464.9	414.7	387.6	487.4	1.90	102
SFIX	R	8668725								
EFIX	R	8668725	8669037	316	405.6	475.6	950			
SSACC	R	8669041								
ESACC	R	8669041	8669097	60	407.8	483.3	423.2	135.8	6.79	398
SFIX	R	8669101								
EFIX	R	8669101	8669133	36	428.0	112.6	971			
SSACC	R	8669137								
ESACC	R	8669137	8669149	16	433.3	95.9	446.0	128.1	0.67	74
SFIX	R	8669153								
EFIX	R	8669153	8669181	32	436.8	134.7	971			
SSACC	R	8669185								
ESACC	R	8669185	8669209	28	428.8	151.3	421.9	173.5	0.45	142
SFIX	R	8669213								
EFIX	R	8669213	8669305	96	425.7	198.6	885			
SSACC	R	8669309								
ESACC	R	8669309	8669345	40	429.5	214.1	465.7	163.4	1.16	110
SFIX	R	8669349								
EFIX	R	8669349	8669585	240	484.5	151.3	818			
SSACC	R	8669589								
ESACC	R	8669589	8669597	12	491.0	141.1	488.1	135.6	0.12	56
SFIX	R	8669601								
EFIX	R	8669601	8669729	132	489.3	127.7	807			
SSACC	R	8669733								
ESACC	R	8669733	8669897	168	496.6	140.0	778.4	617.2	10.33	240
SFIX	R	8669901								
EFIX	R	8669901	8670037	140	786.0	641.1	937			
SSACC	R	8670041								
ESACC	R	8670041	8670137	100	790.2	679.4	468.2	165.8	11.22	411
SFIX	R	8670141								
MSG	8670144	VIDEO_MARKER_00540								
EFIX	R	8670141	8670229	92	476.0	204.5	861			
SSACC	R	8670233								
ESACC	R	8670233	8670261	32	480.2	221.7	392.4	33.4	3.97	223
SFIX	R	8670265								
EFIX	R	8670265	8670329	68	395.6	53.6	828			
SSACC	R	8670333								
ESACC	R	8670333	8670357	28	395.0	45.0	403.5	53.9	0.22	64
SFIX	R	8670361								
EFIX	R	8670361	8670393	36	413.2	64.8	811			
SSACC	R	8670397								
ESACC	R	8670397	8670457	64	419.4	52.6	313.2	427.5	7.53	411
SFIX	R	8670461								
EFIX	R	8670461	8670629	172	315.8	461.5	808			
SSACC	R	8670633								
ESACC	R	8670633	8670653	24	320.0	473.1	416.3	358.4	2.73	211
SFIX	R	8670657								
EFIX	R	8670657	8670917	264	412.2	390.8	821			
SSACC	R	8670921								
ESACC	R	8670921	8670941	24	416.7	396.7	531.7	352.9	2.07	177
SFIX	R	8670945								
EFIX	R	8670945	8671089	148	509.8	363.5	837			
SSACC	R	8671093								
ESACC	R	8671093	8671121	32	517.7	364.2	350.8	535.3	4.30	268
SFIX	R	8671125								
EFIX	R	8671125	8671509	388	388.0	533.4	877			
SSACC	R	8671513								
ESACC	R	8671513	8671541	32	394.9	531.5	405.9	396.4	2.63	177
SFIX	R	8671545								
EFIX	R	8671545	8671745	204	407.9	418.6	836			
SSACC	R	8671749								
ESACC	R	8671749	8671769	24	410.2	411.4	474.3	383.8	1.18	136
SFIX	R	8671773								
EFIX	R	8671773	8671973	204	466.7	399.5	815			
SSACC	R	8671977								
ESACC	R	8671977	8671997	24	468.5	412.0	363.2	441.3	1.81	163
SFIX	R	8672001								
MSG	8672111	VIDEO_MARKER_00600								
EFIX	R	8672001	8672253	256	384.9	447.3	879			
SSACC	R	8672257								
ESACC	R	8672257	8672289	36	397.4	445.3	497.8	458.1	1.66	158
SFIX	R	8672293								
EFIX	R	8672293	8672329	40	498.1	455.6	984			
SSACC	R	8672333								
ESACC	R	8672333	8672349	20	498.3	457.1	500.6	441.3	0.31	79
SFIX	R	8672353								
EFIX	R	8672353	8672405	56	503.2	461.4	995			
SSACC	R	8672409								
ESACC	R	8672409	8672425	20	505.1	459.6	510.6	463.8	0.12	58
SFIX	R	8672429								
EFIX	R	8672429	8672465	40	508.0	456.5	1038			
SSACC	R	8672469								
ESACC	R	8672469	8672481	16	507.3	461.4	507.6	444.4	0.33	80
SFIX	R	8672485								
EFIX	R	8672485	8672593	112	506.1	470.4	1009			
SSACC	R	8672597								
ESACC	R	8672597	8672649	56	505.1	475.2	468.9	31.3	8.68	303
SFIX	R	8672653								
EFIX	R	8672653	8672693	44	464.4	83.9	1048			
SSACC	R	8672697								
ESACC	R	8672697	8672741	48	460.1	124.7	447.3	125.0	0.21	99
SFIX	R	8672745								
EFIX	R	8672745	8672845	104	458.6	147.4	982			
SSACC	R	8672849								
ESACC	R	8672849	8672857	12	447.2	161.4	416.8	147.5	0.57	71
SFIX	R	8672861								
EFIX	R	8672861	8673117	260	428.6	148.1	974			
SSACC	R	8673121								
ESACC	R	8673121	8673169	52	425.4	165.0	454.3	429.6	5.20	205
SFIX	R	8673173								
EFIX	R	8673173	8673697	528	449.7	431.9	1023			
SSACC	R	8673701								
ESACC	R	8673701	8673729	32	445.4	453.2	387.2	350.4	2.22	123
SFIX	R	8673733								
EFIX	R	8673733	8673841	112	392.2	378.6	1005			
SSACC	R	8673845								
ESACC	R	8673845	8673861	20	389.7	388.5	344.2	350.9	1.05	102
SFIX	R	8673865								
MSG	8674111	VIDEO_MARKER_00660								
EFIX	R	8673865	8674125	264	356.3	371.1	978			
SSACC	R	8674129								
ESACC	R	8674129	8674145	20	372.2	382.5	436.7	366.7	1.10	96
SFIX	R	8674149								
EFIX	R	8674149	8674513	368	425.4	363.6	937			
SSACC	R	8674517								
ESACC	R	8674517	8674529	16	428.3	352.8	489.2	358.7	1.01	95
SFIX	R	8674533								
EFIX	R	8674533	8674773	244	483.1	363.8	897			
SSACC	R	8674777								
ESACC	R	8674777	8674801	28	477.7	360.8	332.3	375.6	2.40	159
SFIX	R	8674805								
EFIX	R	8674805	8675161	360	369.8	393.5	871			
SSACC	R	8675165								
ESACC	R	8675165	8675177	16	379.4	392.4	412.4	411.4	0.66	63
SFIX	R	8675181								
EFIX	R	8675181	8675377	200	406.5	430.6	899			
SSACC	R	8675381								
ESACC	R	8675381	8675389	12	422.9	427.9	458.2	409.1	0.68	85
SFIX	R	8675393								
EFIX	R	8675393	8675553	164	452.8	405.0	918			
SSACC	R	8675557								
ESACC	R	8675557	8675565	12	459.2	410.0	483.3	390.1	0.55	69
SFIX	R	8675569								
EFIX	R	8675569	8675725	160	487.3	389.9	917			
SSACC	R	8675729								
SBLINK	R	8675833								
EBLINK	R	8675833	8675913	84						
ESACC	R	8675729	8675993	268	490.4	385.5	730.7	576.5	5.39	391
SFIX	R	8675997								
MSG	8676110	VIDEO_MARKER_00720								
EFIX	R	8675997	8676165	172	750.3	553.1	1041			
SSACC	R	8676169								
ESACC	R	8676169	8676177	12	742.5	568.5	743.1	574.0	0.11	65
SFIX	R	8676181								
EFIX	R	8676181	8676325	148	743.5	576.3	1056			
SSACC	R	8676329								
ESACC	R	8676329	8676337	12	751.0	560.3	753.3	565.6	0.11	54
SFIX	R	8676341								
EFIX	R	8676341	8676441	104	764.2	580.7	1098			
SSACC	R	8676445								
ESACC	R	8676445	8676453	12	770.8	601.6	765.5	608.7	0.16	77
SFIX	R	8676457								
EFIX	R	8676457	8676565	112	769.4	601.6	1116			
SSACC	R	8676569								
ESACC	R	8676569	8676693	128	774.6	610.4	528.3	392.0	5.82	325
SFIX	R	8676697								
EFIX	R	8676697	8676877	184	525.4	426.7	1130			
SSACC	R	8676881								
MSG	8676893	VIDEO_SKIPPED								
ESACC	R	8676881	8676901	24	520.8	424.5	516.5	436.6	0.25	98
SFIX	R	8676905								
MSG	8676927	VIDEO_START								
EFIX	R	8676905	8677037	136	521.4	428.7	1117			
SSACC	R	8677041								
ESACC	R	8677041	8677045	8	524.6	414.3	524.3	429.2	0.29	54
SFIX	R	8677049								
EFIX	R	8677049	8677113	68	524.6	432.7	1134			
SSACC	R	8677117								
ESACC	R	8677117	8677121	8	530.1	431.4	534.1	414.5	0.34	52
SFIX	R	8677125								
EFIX	R	8677125	8677169	48	531.0	420.7	1153			
SSACC	R	8677173								
ESACC	R	8677173	8677337	168	543.5	431.5	794.3	608.8	5.32	252
SFIX	R	8677341								
EFIX	R	8677341	8677429	92	807.7	590.9	1186			
SSACC	R	8677433								
ESACC	R	8677433	8677445	16	814.7	580.0	806.0	614.3	0.67	72
SFIX	R	8677449								
EFIX	R	8677449	8677469	24	799.6	618.8	1187			
SSACC	R	8677473								
SBLINK	R	8677489								
EBLINK	R	8677489	8677629	144						
ESACC	R	8677473	8677713	244	798.1	644.7	442.4	427.6	7.13	396
SFIX	R	8677717								
EFIX	R	8677717	8677777	64	441.5	416.8	1298			
SSACC	R	8677781								
ESACC	R	8677781	8677805	28	445.4	419.4	556.1	461.8	1.99	132
SFIX	R	8677809								
EFIX	R	8677809	8677853	48	538.4	450.5	1292			
SSACC	R	8677857								
ESACC	R	8677857	8677881	28	536.7	459.6	538.0	497.7	0.74	55
SFIX	R	8677885								
EFIX	R	8677885	8677957	76	538.3	501.6	1276			
SSACC	R	8677961								
ESACC	R	8677961	8677985	28	550.0	515.1	362.7	503.1	3.06	235
SFIX	R	8677989								
EFIX	R	8677989	8678033	48	375.9	504.0	1287			
SSACC	R	8678037								
ESACC	R	8678037	8678125	92	376.9	530.1	361.8	503.5	0.57	102
SFIX	R	8678129								
EFIX	R	8678129	8678373	248	371.0	544.3	1108			
SSACC	R	8678377								
ESACC	R	8678377	8678397	24	382.0	545.4	507.9	554.5	2.06	170
SFIX	R	8678401								
EFIX	R	8678401	8678589	192	471.0	563.0	1052			
SSACC	R	8678593								
ESACC	R	8678593	8678633	44	457.0	568.4	819.7	673.9	6.21	272
SFIX	R	8678637								
EFIX	R	8678637	8678829	196	798.7	675.4	1101			
SSACC	R	8678833								
MSG	8678877	VIDEO_MARKER_00060								
ESACC	R	8678833	8678889	60	796.5	676.9	564.0	215.2	9.69	338
SFIX	R	8678893								
EFIX	R	8678893	8678929	40	566.5	249.9	1195			
SSACC	R	8678933								
ESACC	R	8678933	8678937	8	562.0	259.7	562.7	279.4	0.39	64
SFIX	R	8678941								
EFIX	R	8678941	8679069	132	563.5	277.9	1099			
SSACC	R	8679073								
ESACC	R	8679073	8679133	64	561.0	276.5	793.8	581.3	7.02	350
SFIX	R	8679137								
EFIX	R	8679137	8679165	32	801.5	581.5	1191			
SSACC	R	8679169								
ESACC	R	8679169	8679177	12	801.2	577.1	813.1	599.1	0.46	58
SFIX	R	8679181								
EFIX	R	8679181	8679261	84	820.8	605.0	1151			
SSACC	R	8679265								
ESACC	R	8679265	8679281	20	820.8	609.6	732.0	623.3	1.46	141
SFIX	R	8679285								
EFIX	R	8679285	8679665	384	749.3	636.1	1241			
SSACC	R	8679669								
ESACC	R	8679669	8679705	40	747.5	663.8	664.1	481.9	3.75	206
SFIX	R	8679709								
EFIX	R	8679709	8680213	508	672.9	531.9	1304			
SSACC	R	8680217								
ESACC	R	8680217	8680273	60	672.2	535.2	473.2	251.1	6.42	400
SFIX	R	8680277								
EFIX	R	8680277	8680309	36	467.7	229.4	1409			
SSACC	R	8680313								
ESACC	R	8680313	8680329	20	458.1	245.6	455.1	222.0	0.47	50
SFIX	R	8680333								
EFIX	R	8680333	8680381	52	454.8	231.9	1402			
SSACC	R	8680385								
ESACC	R	8680385	8680413	32	456.4	238.5	458.6	230.6	0.16	72
SFIX	R	8680417								
EFIX	R	8680417	8680441	28	458.1	244.9	1381			
SSACC	R	8680445								
ESACC	R	8680445	8680469	28	459.7	224.1	456.6	267.0	0.84	125
SFIX	R	8680473								
EFIX	R	8680473	8680493	24	456.8	242.1	1387			
SSACC	R	8680497								
ESACC	R	8680497	8680545	52	463.2	212.6	458.5	247.6	0.69	100
SFIX	R	8680549								
EFIX	R	8680549	8680577	32	460.3	226.0	1385			
SSACC	R	8680581								
MSG	8680877	VIDEO_MARKER_00120								
ESACC	R	8680581	8680941	364	453.0	242.8	744.2	635.8	8.97	394
SFIX	R	8680945								
EFIX	R	8680945	8680985	44	751.0	617.4	1417			
SSACC	R	8680989								
ESACC	R	8680989	8680993	8	741.4	645.0	738.7	648.6	0.08	76
SFIX	R	8680997								
EFIX	R	8680997	8681025	32	747.5	626.1	1429			
SSACC	R	8681029								
ESACC	R	8681029	8681145	120	745.8	593.6	760.2	608.1	0.36	118
SFIX	R	8681149								
MSG	8681192	VIDEO_SKIPPED								
MSG	8681260	VIDEO_START								
EFIX	R	8681149	8681273	128	757.2	611.9	1465			
SSACC	R	8681277								
ESACC	R	8681277	8681349	76	754.3	615.1	752.9	625.1	0.19	73
SFIX	R	8681353								
EFIX	R	8681353	8681421	72	755.2	611.4	1516			
SSACC	R	8681425								
ESACC	R	8681425	8681477	56	749.7	618.3	610.5	387.7	5.00	280
SFIX	R	8681481								
EFIX	R	8681481	8681537	60	597.6	392.9	1507			
SSACC	R	8681541								
ESACC	R	8681541	8681709	172	588.8	397.0	872.1	544.6	5.42	276
SFIX	R	8681713								
EFIX	R	8681713	8681809	100	875.6	575.8	986			
SSACC	R	8681813								
ESACC	R	8681813	8681885	76	870.7	586.9	423.9	360.5	8.48	253
SFIX	R	8681889								
EFIX	R	8681889	8682113	228	381.0	436.2	931			
SSACC	R	8682117								
ESACC	R	8682117	8682133	20	386.2	481.1	471.3	452.0	1.50	134
SFIX	R	8682137								
MSG	8682243	VIDEO_MARKER_00060								
EFIX	R	8682137	8682465	332	461.4	465.7	1003			
SSACC	R	8682469								
ESACC	R	8682469	8682489	24	457.2	482.1	557.8	360.0	2.89	238
SFIX	R	8682493								
EFIX	R	8682493	8682673	184	531.1	360.8	1162			
SSACC	R	8682677								
ESACC	R	8682677	8682697	24	526.8	366.0	528.2	357.5	0.17	67
SFIX	R	8682701								
EFIX	R	8682701	8682773	76	524.5	367.6	1139			
SSACC	R	8682777								
ESACC	R	8682777	8682845	72	524.4	361.6	786.2	573.0	5.92	257
SFIX	R	8682849								
EFIX	R	8682849	8682869	24	786.3	560.7	1127			
SSACC	R	8682873								
ESACC	R	8682873	8683097	228	790.7	564.0	482.7	240.5	8.05	296
SFIX	R	8683101								
MSG	8683243	VIDEO_MARKER_00120								
EFIX	R	8683101	8683397	300	457.2	292.0	1080			
SSACC	R	8683401								
ESACC	R	8683401	8683409	12	455.5	292.6	456.6	293.9	0.03	75
SFIX	R	8683413								
EFIX	R	8683413	8683501	92	459.5	297.3	1125			
SSACC	R	8683505								
ESACC	R	8683505	8683541	40	461.7	297.2	463.7	273.4	0.47	74
SFIX	R	8683545								
EFIX	R	8683545	8683573	32	461.5	284.0	1169			
SSACC	R	8683577								
ESACC	R	8683577	8683617	44	464.1	274.7	461.5	268.9	0.12	71
SFIX	R	8683621								
EFIX	R	8683621	8683645	28	466.1	297.9	1138			
SSACC	R	8683649								
