MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
ESACC	R	8353713	8354013	304	873.1	374.6	328.4	434.7	8.93	348
SFIX	R	8354017								
EFIX	R	8354017	8354205	192	309.9	476.6	1244			
SSACC	R	8354209								
ESACC	R	8354209	8354233	28	304.5	481.1	463.8	401.7	3.02	275
SFIX	R	8354237								
EFIX	R	8354237	8354301	68	443.7	433.2	1315			
SSACC	R	8354305								
ESACC	R	8354305	8354313	12	446.6	423.2	448.2	438.0	0.29	52
SFIX	R	8354317								
EFIX	R	8354317	8354341	28	446.0	442.6	1330			
SSACC	R	8354345								
ESACC	R	8354345	8354377	36	445.8	453.5	451.3	429.6	0.47	93
SFIX	R	8354381								
EFIX	R	8354381	8354425	48	453.1	442.9	1348			
SSACC	R	8354429								
ESACC	R	8354429	8354441	16	456.7	455.6	458.6	457.0	0.04	83
SFIX	R	8354445								
EFIX	R	8354445	8354469	28	458.5	449.8	1358			
SSACC	R	8354473								
ESACC	R	8354473	8354505	36	457.9	460.7	562.4	442.2	1.75	155
SFIX	R	8354509								
EFIX	R	8354509	8354581	76	567.2	442.4	1368			
SSACC	R	8354585								
ESACC	R	8354585	8354613	32	573.2	435.0	569.6	407.6	0.54	92
SFIX	R	8354617								
EFIX	R	8354617	8354677	64	571.9	428.8	1390			
SSACC	R	8354681								
ESACC	R	8354681	8354721	44	575.6	433.2	733.0	450.7	2.59	181
SFIX	R	8354725								
EFIX	R	8354725	8354781	60	731.2	447.8	1407			
SSACC	R	8354785								
ESACC	R	8354785	8354813	32	740.6	431.4	729.1	464.9	0.68	83
SFIX	R	8354817								
EFIX	R	8354817	8354921	108	734.1	440.9	1400			
SSACC	R	8354925								
ESACC	R	8354925	8355013	92	737.3	429.3	351.2	501.6	6.44	250
SFIX	R	8355017								
EFIX	R	8355017	8355073	60	352.1	500.5	1470			
SSACC	R	8355077								
ESACC	R	8355077	8355257	184	358.1	524.5	504.3	588.7	2.68	196
SFIX	R	8355261								
EFIX	R	8355261	8355313	56	507.6	569.7	1424			
SSACC	R	8355317								
ESACC	R	8355317	8355321	8	507.4	575.2	508.9	585.7	0.20	54
SFIX	R	8355325								
EFIX	R	8355325	8355469	148	510.0	590.5	1420			
SSACC	R	8355473								
ESACC	R	8355473	8355497	28	512.6	609.5	630.9	598.5	1.93	151
SFIX	R	8355501								
EFIX	R	8355501	8355561	64	624.1	593.3	1384			
SSACC	R	8355565								
